Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ai/backend.rs                           144               144     0.00%          20                20     0.00%         135               135     0.00%           0                 0         -
ai/docai_cache.rs                       188               188     0.00%           8                 8     0.00%          99                99     0.00%           0                 0         -
ai/document_ai.rs                      2084              2084     0.00%         101               101     0.00%        1277              1277     0.00%           0                 0         -
ai/gemini_client.rs                    1466              1466     0.00%          97                97     0.00%        1040              1040     0.00%           0                 0         -
ai/llamaparse.rs                        447               447     0.00%          22                22     0.00%         291               291     0.00%           0                 0         -
ai/openai_client.rs                     258               258     0.00%          27                27     0.00%         170               170     0.00%           0                 0         -
ai/pdfrest.rs                           203               203     0.00%          14                14     0.00%         133               133     0.00%           0                 0         -
ai/pyo3_bridge.rs                       553               553     0.00%          75                75     0.00%         379               379     0.00%           0                 0         -
ai/repair.rs                             65                65     0.00%           4                 4     0.00%          42                42     0.00%           0                 0         -
ai/vision.rs                             76                76     0.00%           3                 3     0.00%          60                60     0.00%           0                 0         -
app/api_verification.rs                 456               456     0.00%          32                32     0.00%         383               383     0.00%           0                 0         -
app/audit.rs                            389               389     0.00%          21                21     0.00%         227               227     0.00%           0                 0         -
app/cli.rs                             1265              1265     0.00%          28                28     0.00%         859               859     0.00%           0                 0         -
app/config.rs                           537               449    16.39%          46                38    17.39%         394               316    19.80%           0                 0         -
app/env_spec.rs                          28                28     0.00%           5                 5     0.00%          20                20     0.00%           0                 0         -
app/error.rs                             41                41     0.00%           3                 3     0.00%          27                27     0.00%           0                 0         -
app/fontcache.rs                        185               185     0.00%          13                13     0.00%         108               108     0.00%           0                 0         -
app/gui.rs                             6359              5041    20.73%         249               166    33.33%        3978              3116    21.67%           0                 0         -
app/modals.rs                          2569              1991    22.50%          95                63    33.68%        1551              1184    23.66%           0                 0         -
app/notify.rs                            51                51     0.00%           2                 2     0.00%          29                29     0.00%           0                 0         -
app/paths.rs                             43                43     0.00%           7                 7     0.00%          25                25     0.00%           0                 0         -
app/preflight.rs                         18                18     0.00%           1                 1     0.00%          16                16     0.00%           0                 0         -
app/runtime.rs                         7030              7030     0.00%         215               215     0.00%        3970              3970     0.00%           0                 0         -
app/server.rs                           155               155     0.00%           8                 8     0.00%         144               144     0.00%           0                 0         -
app/telemetry.rs                        232               232     0.00%          22                22     0.00%         149               149     0.00%           0                 0         -
app/theme.rs                             99                15    84.85%           3                 1    66.67%          87                18    79.31%           0                 0         -
app/watchdog.rs                         119               119     0.00%           4                 4     0.00%          79                79     0.00%           0                 0         -
bin/dump_text.rs                         60                60     0.00%           1                 1     0.00%          28                28     0.00%           0                 0         -
bin/test_pdfium.rs                        2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/validate.rs                          73                73     0.00%           2                 2     0.00%          44                44     0.00%           0                 0         -
engine/ai_confirm.rs                     77                77     0.00%           4                 4     0.00%          66                66     0.00%           0                 0         -
engine/balance.rs                       208               208     0.00%           4                 4     0.00%         150               150     0.00%           0                 0         -
engine/categorization.rs                 93                93     0.00%           1                 1     0.00%          35                35     0.00%           0                 0         -
engine/consensus.rs                      87                87     0.00%           2                 2     0.00%          62                62     0.00%           0                 0         -
engine/date_adjust.rs                   123               123     0.00%           5                 5     0.00%          80                80     0.00%           0                 0         -
engine/font_analysis.rs                 307               307     0.00%          27                27     0.00%         216               216     0.00%           0                 0         -
engine/font_replication.rs              229               229     0.00%          21                21     0.00%         132               132     0.00%           0                 0         -
engine/history.rs                       189               186     1.59%          19                18     5.26%         156               149     4.49%           0                 0         -
engine/interactive_fallback.rs           16                16     0.00%           2                 2     0.00%          21                21     0.00%           0                 0         -
engine/layout.rs                          4                 4     0.00%           1                 1     0.00%          10                10     0.00%           0                 0         -
engine/model.rs                         248               248     0.00%          23                23     0.00%         109               109     0.00%           0                 0         -
engine/number_format.rs                 313               313     0.00%          12                12     0.00%         187               187     0.00%           0                 0         -
engine/offline_parser.rs                333               333     0.00%          15                15     0.00%         210               210     0.00%           0                 0         -
engine/pdf_split_merge.rs               783               783     0.00%          33                33     0.00%         486               486     0.00%           0                 0         -
engine/pro_edit.rs                        8                 8     0.00%           2                 2     0.00%          13                13     0.00%           0                 0         -
engine/segments.rs                      216               216     0.00%          20                20     0.00%         167               167     0.00%           0                 0         -
engine/statement.rs                     245               245     0.00%          20                20     0.00%         198               198     0.00%           0                 0         -
engine/transfer.rs                      188               188     0.00%           6                 6     0.00%          96                96     0.00%           0                 0         -
engine/transfer_test_harness.rs         100               100     0.00%           7                 7     0.00%          54                54     0.00%           0                 0         -
engine/typst_engine.rs                  389               389     0.00%          28                28     0.00%         199               199     0.00%           0                 0         -
engine/verification.rs                  892               892     0.00%          36                36     0.00%         481               481     0.00%           0                 0         -
engine/workflow.rs                      512               512     0.00%          31                31     0.00%         344               344     0.00%           0                 0         -
error.rs                                 72                72     0.00%          13                13     0.00%          68                68     0.00%           0                 0         -
extractors/geometry.rs                  170               170     0.00%           6                 6     0.00%          91                91     0.00%           0                 0         -
extractors/merger.rs                     72                72     0.00%           3                 3     0.00%          49                49     0.00%           0                 0         -
extractors/ocrs_engine.rs                50                50     0.00%           6                 6     0.00%          46                46     0.00%           0                 0         -
extractors/templates.rs                 347               347     0.00%          21                21     0.00%         181               181     0.00%           0                 0         -
main.rs                                  91                91     0.00%           5                 5     0.00%          50                50     0.00%           0                 0         -
pdf/engine.rs                           105               105     0.00%           7                 7     0.00%          96                96     0.00%           0                 0         -
pdf/native_engine.rs                   1158              1158     0.00%          67                67     0.00%         788               788     0.00%           0                 0         -
pdf/pymupdf_engine.rs                   224               224     0.00%          25                25     0.00%         184               184     0.00%           0                 0         -
pdf/selector.rs                         281               281     0.00%          31                31     0.00%         228               228     0.00%           0                 0         -
security/software_root.rs               133               133     0.00%           9                 9     0.00%          88                88     0.00%           0                 0         -
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                 33458             31387     6.19%        1641              1515     7.68%       21086             19703     6.56%           0                 0         -
